file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.js,1,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,71
index.js,2,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,3,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,54
index.js,4,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,5,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,42
index.js,6,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,7,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,60
index.js,8,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,9,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,54
index.js,10,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,11,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,60
index.js,12,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,13,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,17
index.js,14,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,1,24
index.js,15,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,4,2
index.js,16,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,5,55
index.js,17,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,5,55
index.js,18,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,5,49
index.js,19,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,5,49
index.js,20,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,4,3
index.js,21,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,0
index.js,22,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,23,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,24,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.js,25,js,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,54
index.html,1,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,13
index.html,2,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,4
index.html,3,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,4
index.html,4,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,2,22
index.html,5,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,2,53
index.html,6,html,5a787265,Dylan Berry,2025-10-02,15:34:45,-07:00,2025-10-02T15:34:45-07:00,2,38
index.html,7,html,ad896134,Dylan Berry,2025-10-16,16:09:24,-07:00,2025-10-16T16:09:24-07:00,2,45
index.html,8,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,50
index.html,9,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.html,10,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,5
index.html,11,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,4
index.html,12,html,ad896134,Dylan Berry,2025-10-16,16:09:24,-07:00,2025-10-16T16:09:24-07:00,2,8
index.html,13,html,ad896134,Dylan Berry,2025-10-16,16:09:24,-07:00,2025-10-16T16:09:24-07:00,4,74
index.html,14,html,effe0a00,Dylan Berry,2025-10-09,17:21:09,-07:00,2025-10-09T17:21:09-07:00,4,87
